题号,题目名字 (English),题目名字 (中文),难度,tag,主要tag,labuladong link,leetcode en link,leetcode cn link,公司面经,重要性
1,Two Sum,两数之和,Easy,"数组;哈希表",数组,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/two-sum,https://leetcode.cn/problems/two-sum,"Google, Meta, Amazon","经典+高频"
3,Longest Substring Without Repeating Characters,无重复字符的最长子串,Medium,"字符串;滑动窗口",字符串,https://labuladong.online/algo/en/problem-set/sliding-window/,https://leetcode.com/problems/longest-substring-without-repeating-characters,https://leetcode.cn/problems/longest-substring-without-repeating-characters,"Google, Amazon, Meta","经典+高频"
15,3Sum,三数之和,Medium,"数组;双指针",数组,https://labuladong.online/algo/en/essential-technique/two-sum/,https://leetcode.com/problems/3sum,https://leetcode.cn/problems/3sum,"Google, Meta","经典+高频"
20,Valid Parenteses,有效的括号,Easy,"栈;字符串",栈,https://labuladong.online/algo/en/problem-set/stack/,https://leetcode.com/problems/valid-parentheses,https://leetcode.cn/problems/valid-parentheses,"Meta, Amazon","经典+高频"
21,Merge Two Sorted Lists,合并两个有序链表,Easy,"链表;双指针",链表,https://labuladong.online/algo/en/data-structure/reverse-linked-list-recursion/,https://leetcode.com/problems/merge-two-sorted-lists,https://leetcode.cn/problems/merge-two-sorted-lists,"Amazon, Microsoft","经典题"
22,Generate Parentheses,括号生成,Medium,"回溯;字符串",回溯,https://labuladong.online/algo/en/problem-set/stack/,https://leetcode.com/problems/generate-parentheses,https://leetcode.cn/problems/generate-parentheses,"Meta, Amazon","经典题"
23,Merge k Sorted Lists,合并K个升序链表,Hard,"链表;优先队列;分治",链表,https://labuladong.online/algo/en/problem-set/ds-design/,https://leetcode.com/problems/merge-k-sorted-lists,https://leetcode.cn/problems/merge-k-sorted-lists,"Google, Amazon","经典题"
24,Swap Nodes in Pairs,两两交换链表中的节点,Medium,"链表;递归",链表,https://labuladong.online/algo/en/data-structure/reverse-linked-list-recursion/,https://leetcode.com/problems/swap-nodes-in-pairs,https://leetcode.cn/problems/swap-nodes-in-pairs,"Microsoft, Amazon","经典题"
31,Next Permutation,下一个排列,Medium,"数组;模拟",数组,https://labuladong.online/algo/en/essential-technique/two-sum/,https://leetcode.com/problems/next-permutation,https://leetcode.cn/problems/next-permutation,"Google, Microsoft","经典题"
33,Search in Rotated Sorted Array,搜索旋转排序数组,Medium,"数组;二分查找",二分查找,https://labuladong.online/algo/en/problem-set/binary-search/,https://leetcode.com/problems/search-in-rotated-sorted-array,https://leetcode.cn/problems/search-in-rotated-sorted-array,"Google, Meta","经典题"
34,Find First and Last Position of Element in Sorted Array,在排序数组中查找元素的第一个和最后一个位置,Medium,"数组;二分查找",二分查找,https://labuladong.online/algo/en/problem-set/binary-search/,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array,"Amazon, Microsoft","高频题"
39,Combination Sum,组合总和,Medium,"回溯;数组",回溯,https://labuladong.online/algo/en/problem-set/backtracking/,https://leetcode.com/problems/combination-sum,https://leetcode.cn/problems/combination-sum,"Amazon, Meta","经典题"
42,Trapping Rain Water,接雨水,Hard,"栈;双指针",双指针,https://labuladong.online/algo/en/essential-technique/two-sum/,https://leetcode.com/problems/trapping-rain-water,https://leetcode.cn/problems/trapping-rain-water,"Google, Meta","经典+高频"
46,Permutations,全排列,Medium,"回溯;数组",回溯,https://labuladong.online/algo/en/problem-set/backtracking/,https://leetcode.com/problems/permutations,https://leetcode.cn/problems/permutations,"Amazon, Microsoft","经典题"
48,Rotate Image,旋转图像,Medium,"数组;矩阵",数组,https://labuladong.online/algo/en/problem-set/array-two-pointers/,https://leetcode.com/problems/rotate-image,https://leetcode.cn/problems/rotate-image,"Amazon, Meta","经典题"
49,Group Anagrams,字母异位词分组,Medium,"哈希表;字符串",哈希表,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/group-anagrams,https://leetcode.cn/problems/group-anagrams,"Meta, Amazon","经典题"
50,Pow(x, n),Pow(x, n),Medium,"数学;二分求幂",数学,https://labuladong.online/algo/en/problem-set/binary-search/,https://leetcode.com/problems/powx-n,https://leetcode.cn/problems/powx-n,"Apple, Amazon","经典题"
53,Maximum Subarray,最大子序和,Easy,"数组;动态规划",动态规划,https://labuladong.online/algo/en/problem-set/array-two-pointers/,https://leetcode.com/problems/maximum-subarray,https://leetcode.cn/problems/maximum-subarray,"Meta, Amazon","经典题"
55,Jump Game,跳跃游戏,Medium,"贪心;数组",贪心,https://labuladong.online/algo/en/problem-set/greedy/,https://leetcode.com/problems/jump-game,https://leetcode.cn/problems/jump-game,"Amazon, Google","经典题"
56,Merge Intervals,合并区间,Medium,"数组;排序",数组,https://labuladong.online/algo/en/problem-set/binary-search/,https://leetcode.com/problems/merge-intervals,https://leetcode.cn/problems/merge-intervals,"Google, Meta","经典+高频"
57,Insert Interval,插入区间,Medium,"数组;排序",数组,https://labuladong.online/algo/en/problem-set/binary-search/,https://leetcode.com/problems/insert-interval,https://leetcode.cn/problems/insert-interval,"Google, Meta","高频题"
62,Unique Paths,不同路径,Medium,"数学;动态规划",动态规划,https://labuladong.online/algo/en/problem-set/dynamic-programming/,https://leetcode.com/problems/unique-paths,https://leetcode.cn/problems/unique-paths,"Amazon, Microsoft","经典题"
70,Climbing Stairs,爬楼梯,Easy,"动态规划",动态规划,https://labuladong.online/algo/en/problem-set/dynamic-programming/,https://leetcode.com/problems/climbing-stairs,https://leetcode.cn/problems/climbing-stairs,"Amazon, Microsoft","经典题"
73,Set Matrix Zeroes,矩阵置零,Medium,"数组;矩阵",数组,https://labuladong.online/algo/en/problem-set/array-two-pointers/,https://leetcode.com/problems/set-matrix-zeroes,https://leetcode.cn/problems/set-matrix-zeroes,"Meta, Microsoft","经典题"
75,Sort Colors,颜色分类,Medium,"数组;双指针",数组,https://labuladong.online/algo/en/problem-set/array-two-pointers/,https://leetcode.com/problems/sort-colors,https://leetcode.cn/problems/sort-colors,"Meta, Amazon","经典题"
78,Subsets,子集,Medium,"回溯;位运算",回溯,https://labuladong.online/algo/en/problem-set/backtracking/,https://leetcode.com/problems/subsets,https://leetcode.cn/problems/subsets,"Meta, Amazon","经典题"
79,Word Search,单词搜索,Medium,"回溯;矩阵",回溯,https://labuladong.online/algo/en/problem-set/backtracking/,https://leetcode.com/problems/word-search,https://leetcode.cn/problems/word-search,"Microsoft, Amazon","经典题"
82,Remove Duplicates from Sorted List II,删除有序数组中的重复项 II,Medium,"链表;双指针",链表,https://labuladong.online/algo/en/problem-set/linkedlist-two-pointers/,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,https://leetcode.cn/problems/remove-duplicates-from-sorted-list-ii,"Amazon, Microsoft","高频题"
84,Largest Rectangle in Histogram,柱状图中最大的矩形,Hard,"栈;数组",栈,https://labuladong.online/algo/en/problem-set/monotonic-stack/,https://leetcode.com/problems/largest-rectangle-in-histogram,https://leetcode.cn/problems/largest-rectangle-in-histogram,"Google, Amazon","经典题"
92,Reverse Linked List II,反转链表 II,Medium,"链表;递归",链表,https://labuladong.online/algo/en/data-structure/reverse-linked-list-recursion/,https://leetcode.com/problems/reverse-linked-list-ii,https://leetcode.cn/problems/reverse-linked-list-ii,"Amazon, Microsoft","经典题"
98,Validate Binary Search Tree,验证二叉搜索树,Medium,"树;DFS",二叉树,https://labuladong.online/algo/en/problem-set/binary-search-tree/,https://leetcode.com/problems/validate-binary-search-tree,https://leetcode.cn/problems/validate-binary-search-tree,"Meta, Amazon","经典题"
102,Binary Tree Level Order Traversal,二叉树的层序遍历,Medium,"树;BFS",二叉树,https://labuladong.online/algo/en/problem-set/binary-tree/,https://leetcode.com/problems/binary-tree-level-order-traversal,https://leetcode.cn/problems/binary-tree-level-order-traversal,"Amazon, Microsoft","经典题"
105,Construct Binary Tree from Preorder and Inorder,从前序与中序遍历序列构造二叉树,Medium,"树;递归",二叉树,https://labuladong.online/algo/en/problem-set/binary-tree/,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,https://leetcode.cn/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Amazon, Microsoft","经典题"
108,Convert Sorted Array to BST,将有序数组转换为二叉搜索树,Easy,"树;二分查找",二叉树,https://labuladong.online/algo/en/problem-set/binary-search-tree/,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,https://leetcode.cn/problems/convert-sorted-array-to-binary-search-tree,"Microsoft, Amazon","高频题"
113,Path Sum II,路径总和 II,Medium,"树;回溯",二叉树,https://labuladong.online/algo/en/problem-set/binary-tree/,https://leetcode.com/problems/path-sum-ii,https://leetcode.cn/problems/path-sum-ii,"Amazon, Microsoft","高频题"
114,Flatten Binary Tree to Linked List,二叉树展开为链表,Medium,"树;DFS",二叉树,https://labuladong.online/algo/en/problem-set/binary-tree/,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,https://leetcode.cn/problems/flatten-binary-tree-to-linked-list,"Amazon, Microsoft","经典题"
121,Best Time to Buy and Sell Stock,买卖股票的最佳时机,Easy,"贪心;数组",贪心,https://labuladong.online/algo/en/problem-set/greedy/,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock,"Meta, Amazon","经典+高频"
128,Longest Consecutive Sequence,最长连续序列,Medium,"并查集;哈希表",哈希表,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/longest-consecutive-sequence,https://leetcode.cn/problems/longest-consecutive-sequence,"Meta, Google","经典题"
130,Surrounded Regions,被围绕的区域,Medium,"DFS;并查集",图,https://labuladong.online/algo/en/problem-set/graph/,https://leetcode.com/problems/surrounded-regions,https://leetcode.cn/problems/surrounded-regions,"Meta, Amazon","经典题"
133,Clone Graph,克隆图,Medium,"图;DFS;BFS",图,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/clone-graph,https://leetcode.cn/problems/clone-graph,"Meta, Amazon","经典题"
134,Gas Station,加油站,Medium,"贪心",贪心,https://labuladong.online/algo/en/problem-set/greedy/,https://leetcode.com/problems/gas-station,https://leetcode.cn/problems/gas-station,"Google, Amazon","经典题"
136,Single Number,只出现一次的数字,Easy,"位运算;数组",位运算,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/single-number,https://leetcode.cn/problems/single-number,"Amazon, Adobe","经典题"
138,Copy List with Random Pointer,复制带随机指针的链表,Medium,"哈希表;链表",链表,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/copy-list-with-random-pointer,https://leetcode.cn/problems/copy-list-with-random-pointer,"Amazon, Microsoft","经典题"
141,Linked List Cycle,环形链表,Easy,"链表;双指针",链表,https://labuladong.online/algo/en/data-structure/reverse-linked-list-recursion/,https://leetcode.com/problems/linked-list-cycle,https://leetcode.cn/problems/linked-list-cycle,"Amazon, Microsoft","经典题"
142,Linked List Cycle II,环形链表 II,Medium,"链表;双指针",链表,https://labuladong.online/algo/en/data-structure/reverse-linked-list-recursion/,https://leetcode.com/problems/linked-list-cycle-ii,https://leetcode.cn/problems/linked-list-cycle-ii,"Amazon, Microsoft","经典题"
146,LRU Cache,LRU 缓存,Hard,"设计;哈希表;链表",设计,https://labuladong.online/algo/en/data-structure/lru-cache/,https://leetcode.com/problems/lru-cache,https://leetcode.cn/problems/lru-cache,"Google, Meta","经典+高频"
148,Sort List,排序链表,Medium,"链表;分治;排序",链表,https://labuladong.online/algo/en/data-structure/reverse-linked-list-recursion/,https://leetcode.com/problems/sort-list,https://leetcode.cn/problems/sort-list,"Facebook, Amazon","高频题"
151,Reverse Words in a String,翻转字符串里的单词,Medium,"字符串",字符串,https://labuladong.online/algo/en/problem-set/array-two-pointers/,https://leetcode.com/problems/reverse-words-in-a-string,https://leetcode.cn/problems/reverse-words-in-a-string,"Microsoft, Meta","经典题"
152,Maximum Product Subarray,乘积最大子数组,Medium,"数组;动态规划",动态规划,https://labuladong.online/algo/en/problem-set/dynamic-programming/,https://leetcode.com/problems/maximum-product-subarray,https://leetcode.cn/problems/maximum-product-subarray,"Google, Amazon","经典题"
155,Min Stack,最小栈,Easy,"栈;设计",栈,https://labuladong.online/algo/en/problem-set/ds-design/,https://leetcode.com/problems/min-stack,https://leetcode.cn/problems/min-stack,"Meta, Amazon","经典题"
160,Intersection of Two Linked Lists,相交链表,Easy,"链表;双指针",链表,https://labuladong.online/algo/en/problem-set/linkedlist-two-pointers/,https://leetcode.com/problems/intersection-of-two-linked-lists,https://leetcode.cn/problems/intersection-of-two-linked-lists,"Amazon, Microsoft","经典题"
169,Majority Element,多数元素,Easy,"数组;哈希表",数组,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/majority-element,https://leetcode.cn/problems/majority-element,"Amazon, Microsoft","经典题"
198,House Robber,打家劫舍,Medium,"动态规划",动态规划,https://labuladong.online/algo/en/problem-set/dynamic-programming/,https://leetcode.com/problems/house-robber,https://leetcode.cn/problems/house-robber,"Amazon, Google","经典题"
199,Binary Tree Right Side View,二叉树的右视图,Medium,"树;DFS;BFS",二叉树,https://labuladong.online/algo/en/problem-set/binary-tree/,https://leetcode.com/problems/binary-tree-right-side-view,https://leetcode.cn/problems/binary-tree-right-side-view,"Meta, Amazon","高频题"
200,Number of Islands,岛屿数量,Medium,"DFS;BFS",图,https://labuladong.online/algo/en/problem-set/graph/,https://leetcode.com/problems/number-of-islands,https://leetcode.cn/problems/number-of-islands,"Meta, Amazon","经典+高频"
206,Reverse Linked List,反转链表,Easy,"链表",链表,https://labuladong.online/algo/en/data-structure/reverse-linked-list-recursion/,https://leetcode.com/problems/reverse-linked-list,https://leetcode.cn/problems/reverse-linked-list,"Amazon, Google","经典题"
207,Course Schedule,课程表,Medium,"图;拓扑排序",图,https://labuladong.online/algo/en/problem-set/graph/,https://leetcode.com/problems/course-schedule,https://leetcode.cn/problems/course-schedule,"Google, Meta","经典题"
215,Kth Largest Element in an Array,数组中的第K个最大元素,Medium,"堆;快速选择",优先队列,https://labuladong.online/algo/en/problem-set/ds-design/,https://leetcode.com/problems/kth-largest-element-in-an-array,https://leetcode.cn/problems/kth-largest-element-in-an-array,"Meta, Amazon","经典题"
217,Contains Duplicate,存在重复元素,Easy,"数组;哈希表",数组,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/contains-duplicate,https://leetcode.cn/problems/contains-duplicate,"Amazon, Google","高频题"
226,Invert Binary Tree,翻转二叉树,Easy,"树",二叉树,https://labuladong.online/algo/en/problem-set/binary-tree/,https://leetcode.com/problems/invert-binary-tree,https://leetcode.cn/problems/invert-binary-tree,"Google, Amazon","经典题"
230,Kth Smallest Element in a BST,二叉搜索树中第K小的元素,Medium,"树;DFS",二叉树,https://labuladong.online/algo/en/problem-set/binary-search-tree/,https://leetcode.com/problems/kth-smallest-element-in-a-bst,https://leetcode.cn/problems/kth-smallest-element-in-a-bst,"Google, Amazon","经典题"
234,Palindrome Linked List,回文链表,Easy,"链表;双指针",链表,https://labuladong.online/algo/en/data-structure/palindrome-linked-list/,https://leetcode.com/problems/palindrome-linked-list,https://leetcode.cn/problems/palindrome-linked-list,"Amazon, Microsoft","高频题"
236,Lowest Common Ancestor of a Binary Tree,二叉树的最近公共祖先,Medium,"树;DFS",二叉树,https://labuladong.online/algo/en/problem-set/binary-tree/,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree,"Meta, Amazon","经典题"
238,Product of Array Except Self,除自身以外数组的乘积,Medium,"数组",数组,https://labuladong.online/algo/en/problem-set/dynamic-programming/,https://leetcode.com/problems/product-of-array-except-self,https://leetcode.cn/problems/product-of-array-except-self,"Meta, Amazon","经典题"
239,Sliding Window Maximum,滑动窗口最大值,Hard,"队列;滑动窗口",队列,https://labuladong.online/algo/en/problem-set/monotonic-queue/,https://leetcode.com/problems/sliding-window-maximum,https://leetcode.cn/problems/sliding-window-maximum,"Google, Amazon","经典+高频"
242,Valid Anagram,有效的字母异位词,Easy,"哈希表;字符串",哈希表,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/valid-anagram,https://leetcode.cn/problems/valid-anagram,"Amazon, Microsoft","高频题"
253,Meeting Rooms II,会议室 II,Medium,"贪心;堆",优先队列,https://labuladong.online/algo/en/problem-set/ds-design/,https://leetcode.com/problems/meeting-rooms-ii,https://leetcode.cn/problems/meeting-rooms-ii,"Meta, Amazon","高频题"
257,Binary Tree Paths,二叉树的所有路径,Easy,"树;DFS",二叉树,https://labuladong.online/algo/en/problem-set/binary-tree/,https://leetcode.com/problems/binary-tree-paths,https://leetcode.cn/problems/binary-tree-paths,"Amazon, Microsoft","高频题"
261,Graph Valid Tree,判断图是否为树,Medium,"图;并查集",并查集,https://labuladong.online/algo/en/problem-set/graph/,https://leetcode.com/problems/graph-valid-tree,https://leetcode.cn/problems/graph-valid-tree,"Google","高频题"
268,Missing Number,丢失的数字,Easy,"位运算;数组",位运算,https://labuladong.online/algo/en/problem-set/dynamic-programming/,https://leetcode.com/problems/missing-number,https://leetcode.cn/problems/missing-number,"Amazon, Microsoft","高频题"
277,Find the Celebrity,寻找小镇名人,Medium,"双指针",图,,https://leetcode.com/problems/find-the-celebrity,https://leetcode.cn/problems/find-the-celebrity,"Meta","高频题"
278,First Bad Version,第一个错误的版本,Easy,"二分查找",二分查找,https://labuladong.online/algo/en/problem-set/binary-search/,https://leetcode.com/problems/first-bad-version,https://leetcode.cn/problems/first-bad-version,"Facebook, Amazon","高频题"
283,Move Zeroes,移动零,Easy,"数组;双指针",数组,https://labuladong.online/algo/en/problem-set/array-two-pointers/,https://leetcode.com/problems/move-zeroes,https://leetcode.cn/problems/move-zeroes,"Facebook, Google","高频题"
287,Find the Duplicate Number,寻找重复数,Medium,"双指针;二分查找",数组,https://labuladong.online/algo/en/problem-set/greedy/,https://leetcode.com/problems/find-the-duplicate-number,https://leetcode.cn/problems/find-the-duplicate-number,"Meta, Amazon","经典题"
289,Game of Life,生命游戏,Medium,"数组;矩阵",数组,https://labuladong.online/algo/en/problem-set/array-two-pointers/,https://leetcode.com/problems/game-of-life,https://leetcode.cn/problems/game-of-life,"Google","高频题"
380,Insert Delete GetRandom O(1),O(1) 时间插入、删除和获取随机元素,Medium,"设计;数组;哈希表",设计,https://labuladong.online/algo/en/problem-set/ds-design/,https://leetcode.com/problems/insert-delete-getrandom-o1,https://leetcode.cn/problems/insert-delete-getrandom-o1,"Google, Meta","经典题"
387,First Unique Character in a String,字符串中的第一个唯一字符,Easy,"哈希表;字符串",哈希表,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/first-unique-character-in-a-string,https://leetcode.cn/problems/first-unique-character-in-a-string,"Amazon, Microsoft","高频题"
389,Find the Difference,找不同,Easy,"哈希表;位运算;字符串",哈希表,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/find-the-difference,https://leetcode.cn/problems/find-the-difference,"Amazon","高频题"
394,Decode String,字符串解码,Medium,"栈;DFS;字符串",栈,https://labuladong.online/algo/en/problem-set/monotonic-stack/,https://leetcode.com/problems/decode-string,https://leetcode.cn/problems/decode-string,"Amazon","经典题"
406,Queue Reconstruction by Height,根据身高重建队列,Medium,"贪心;排序",贪心,https://labuladong.online/algo/en/problem-set/greedy/,https://leetcode.com/problems/queue-reconstruction-by-height,https://leetcode.cn/problems/queue-reconstruction-by-height,"Google, Amazon","经典题"
424,Longest Repeating Character Replacement,替换后的最长重复字符,Medium,"滑动窗口;双指针",滑动窗口,https://labuladong.online/algo/en/problem-set/sliding-window/,https://leetcode.com/problems/longest-repeating-character-replacement,https://leetcode.cn/problems/longest-repeating-character-replacement,"Meta, Amazon","经典题"
435,Non-overlapping Intervals,无重叠区间,Medium,"贪心;排序",贪心,https://labuladong.online/algo/en/problem-set/greedy/,https://leetcode.com/problems/non-overlapping-intervals,https://leetcode.cn/problems/non-overlapping-intervals,"Google, Amazon","经典题"
438,Find All Anagrams in a String,找到字符串中所有字母异位词,Medium,"哈希表;滑动窗口",滑动窗口,https://labuladong.online/algo/en/problem-set/sliding-window/,https://leetcode.com/problems/find-all-anagrams-in-a-string,https://leetcode.cn/problems/find-all-anagrams-in-a-string,"Meta, Amazon","高频题"
442,Find All Duplicates in an Array,数组中重复的数据,Medium,"数组;哈希表",数组,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/find-all-duplicates-in-an-array,https://leetcode.cn/problems/find-all-duplicates-in-an-array,"Amazon","高频题"
443,String Compression,压缩字符串,Medium,"双指针;字符串",字符串,https://labuladong.online/algo/en/problem-set/array-two-pointers/,https://leetcode.com/problems/string-compression,https://leetcode.cn/problems/string-compression,"Google","高频题"
547,Number of Provinces,省份数量,Medium,"并查集;DFS",并查集,https://labuladong.online/algo/en/problem-set/graph/,https://leetcode.com/problems/number-of-provinces,https://leetcode.cn/problems/number-of-provinces,"Google, Amazon","经典题"
560,Subarray Sum Equals K,和为K的子数组,Medium,"数组;哈希表;前缀和",前缀和,https://labuladong.online/algo/en/problem-set/prefix-sum/,https://leetcode.com/problems/subarray-sum-equals-k,https://leetcode.cn/problems/subarray-sum-equals-k,"Meta, Amazon","经典题"
581,Shortest Unsorted Continuous Subarray,最短无序连续子数组,Medium,"数组;排序",数组,https://labuladong.online/algo/en/problem-set/greedy/,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,https://leetcode.cn/problems/shortest-unsorted-continuous-subarray,"Amazon","高频题"
621,Task Scheduler,任务调度器,Medium,"贪心;队列",贪心,https://labuladong.online/algo/en/problem-set/greedy/,https://leetcode.com/problems/task-scheduler,https://leetcode.cn/problems/task-scheduler,"Meta, Amazon","经典题"
636,Exclusive Time of Functions,函数的独占时间,Medium,"栈",栈,https://labuladong.online/algo/en/problem-set/monotonic-stack/,https://leetcode.com/problems/exclusive-time-of-functions,https://leetcode.cn/problems/exclusive-time-of-functions,"Meta","高频题"
739,Daily Temperatures,每日温度,Medium,"栈;单调栈",栈,https://labuladong.online/algo/en/problem-set/monotonic-stack/,https://leetcode.com/problems/daily-temperatures,https://leetcode.cn/problems/daily-temperatures,"Amazon","经典题"
752,Open the Lock,打开转盘锁,Medium,"BFS",图,https://labuladong.online/algo/en/problem-set/graph/,https://leetcode.com/problems/open-the-lock,https://leetcode.cn/problems/open-the-lock,"Amazon","高频题"
763,Partition Labels,划分字母区间,Medium,"贪心",贪心,https://labuladong.online/algo/en/problem-set/greedy/,https://leetcode.com/problems/partition-labels,https://leetcode.cn/problems/partition-labels,"Amazon","高频题"
853,Car Fleet,车队,Medium,"排序;单调栈",贪心,https://labuladong.online/algo/en/problem-set/greedy/,https://leetcode.com/problems/car-fleet,https://leetcode.cn/problems/car-fleet,"Google","高频题"
876,Middle of the Linked List,链表的中间结点,Easy,"链表;双指针",链表,https://labuladong.online/algo/en/problem-set/linkedlist-two-pointers/,https://leetcode.com/problems/middle-of-the-linked-list,https://leetcode.cn/problems/middle-of-the-linked-list,"Amazon","高频题"
881,Boats to Save People,救生艇,Medium,"贪心;双指针",贪心,https://labuladong.online/algo/en/problem-set/greedy/,https://leetcode.com/problems/boats-to-save-people,https://leetcode.cn/problems/boats-to-save-people,"Amazon","高频题"
973,K Closest Points to Origin,最接近原点的K个点,Medium,"几何;排序;分治;堆",优先队列,https://labuladong.online/algo/en/problem-set/ds-design/,https://leetcode.com/problems/k-closest-points-to-origin,https://leetcode.cn/problems/k-closest-points-to-origin,"Google, Amazon","经典题"
981,Time Based Key-Value Store,基于时间的键值存储,Medium,"设计;哈希表;二分查找",设计,https://labuladong.online/algo/en/problem-set/ds-design/,https://leetcode.com/problems/time-based-key-value-store,https://leetcode.cn/problems/time-based-key-value-store,"Amazon","高频题"
994,Rotting Oranges,腐烂的橘子,Medium,"BFS;矩阵",图,https://labuladong.online/algo/en/problem-set/graph/,https://leetcode.com/problems/rotting-oranges,https://leetcode.cn/problems/rotting-oranges,"Amazon","经典题"